ID_Number,ID_Name,Sample,C13,N15,Taxon,Clade,Wood_type,Depth,Preservation,Year
53,Xylophaga-zierenbergi_19-siphon,voight a08.raw,-22.8526150910116,0.925890272341113,zierenber,xylo,spicebuch,3100,ethanol,2013
54,Xylophaga-zierenbergi_19-siphon,voight a09.raw,-22.5461431329358,-2.25033413900357,zierenber,xylo,spicebuch,3100,ethanol,2013
55,Xylophaga-zierenbergi_19-siphon,voight a10.raw,-23.4502322990113,-0.871078344294362,zierenber,xylo,spicebuch,3100,ethanol,2013
56,Xylophaga-zierenbergi_19-siphon,voight a11.raw,-24.5880647274221,0.324918649832285,zierenber,xylo,spicebuch,3100,ethanol,2013
57,Xylophaga-zierenbergi_19-siphon,voight a12.raw,-24.9183598876441,-0.194237571386501,zierenber,xylo,spicebuch,3100,ethanol,2013
58,Xylophaga-zierenbergi_19-siphon,voight b01.raw,-23.7600493052427,0.450660982775332,zierenber,xylo,spicebuch,3100,ethanol,2013
59,Xylophaga-zierenbergi_19-siphon,voight b02.raw,-23.874434892723,-1.22653853602563,zierenber,xylo,spicebuch,3100,ethanol,2013
60,Xylophaga-zierenbergi_19-siphon-not-acidified,Xzier wb19 1 siphon.raw,-24.9428688038435,-0.237876290843396,zierenber,xylo,spicebuch,3100,ethanol,2013
61,Xylophaga-zierenbergi_19-siphon-not-acidified,Xzier wb19 2 siphon.raw,-23.345349296773,-0.686648828683322,zierenber,xylo,spicebuch,3100,ethanol,2013
62,Xylophaga-zierenbergi_19-siphon-not-acidified,Xzier wb19 3 siphon.raw,-22.4714312232223,0.994983584941301,zierenber,xylo,spicebuch,3100,ethanol,2013
63,Xylophaga-zierenbergi_23-siphon,voight b09.raw,-26.1610221986958,-0.150442737007283,zierenber,xylo,oak,3100,ethanol,2013
64,Xylophaga-zierenbergi_23-siphon,voight b10.raw,-25.0108739441455,-1.41830735020523,zierenber,xylo,oak,3100,ethanol,2013
65,Xylophaga-zierenbergi_23-siphon,voight b11.raw,-26.2542600514578,-0.41154807540713,zierenber,xylo,oak,3100,ethanol,2013
66,Xylophaga-zierenbergi_23-siphon,voight b12.raw,-24.4816831345581,-0.060148631173672,zierenber,xylo,oak,3100,ethanol,2013
67,Xylophaga-zierenbergi_23-siphon,voight c01.raw,-25.3057828391808,0.748450272869273,zierenber,xylo,oak,3100,ethanol,2013
68,Xylophaga-zierenbergi_23-siphon,voight c02.raw,-26.3243886833183,-1.05856843957954,zierenber,xylo,oak,3100,ethanol,2013
69,Xylophaga-zierenbergi_23-siphon,voight c03.raw,-26.1483508175749,-0.428741582776303,zierenber,xylo,oak,3100,ethanol,2013
70,Xylophaga-zierenbergi_23-siphon-not-acidified,Xzier wb23 1 siphon.raw,-25.4714234712657,0.860461889032083,zierenber,xylo,oak,3100,ethanol,2013
71,Xylophaga-zierenbergi_23-siphon-not-acidified,Xzier wb23 2 siphon.raw,-25.8689992000598,-0.849923380370842,zierenber,xylo,oak,3100,ethanol,2013
72,Xylophaga-zierenbergi_23-siphon-not-acidified,Xzier wb23 3 siphon.raw,-25.6452715916247,-0.425629818497163,zierenber,xylo,oak,3100,ethanol,2013
